CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U70109DL2013PTC248603,MOSONRY DEVELOPERS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-02-20,"B-1/5, GF   PASCHIM VIHAR,DELHI,West Delhi,Delhi,110063-India",Unlisted,Active,delhi,Indian,70109,Real Estate and Renting
U65921DL1990PTC307758,GURKIRPA HIRE PURCHASE PVT LTD,ROC Delhi,Company limited by shares,Non-government company,Private,8500000.00,8306700.00,1990-06-14,"Office No 301, Property No. 8, Veer Savarkar Block   Chhabra Complex Building, Shakarpur Extn,.,Delhi,East Delhi,Delhi,110092-India",Unlisted,Active,delhi,Indian,65921,Finance
U65921DL1991PTC045019,ANKUR CULTIVATORS PVT. LTD.,ROC Delhi,Company limited by shares,Non-government company,Private,50000000.00,50000000.00,1991-07-17,"S-9, 3rd Floor   Sriniwaspuri,New Delhi,South Delhi,Delhi,110065-India",Unlisted,Active,delhi,Indian,65921,Finance
U65921DL1992PTC047390,BLISS CREDITS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,500000.00,490000.00,1992-01-29,"1/6817, FIRST FLOOR, PRATAP PURA   WEST ROHTASH NAGAR, SHAHDARA,NEW DELHI,Delhi,110032-India",Unlisted,Amalgamated,delhi,Indian,65921,Finance
U65921DL1992PTC050318,MANISHA LEASING & FINANCE PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,400000.00,20.00,1992-09-16,"H-6 NAV BHARAT APARTMENT A-4PASCHIM VIHAR DELHI,NA,Delhi,000000-India",Unlisted,Strike Off,delhi,Indian,65921,Finance
U65921DL1993PTC055425,ENPRO OFFSHORE PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1000000.00,200.00,1993-09-29,"19TH FLOOR, AMBA DEEP BLDG14, K.G. MARG, NEW DELHI,NA,Delhi,000000-India",Unlisted,Strike Off,delhi,Indian,65921,Finance
U65921DL1993PTC056320,BHAGWATI STOCK HOLDINGS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000.00,2000.00,1993-12-06,"170, OLD BIRLA LINES   SUBZI MANDI,,DELHI,Delhi,110007-India",Unlisted,Strike Off,delhi,Indian,65921,Finance
U65921DL1994PLC057599,NRI CULTURAL AND FINANCIAL CORPORATION LIMITED,ROC Delhi,Company limited by shares,Non-government company,Public,50000000.00,700.00,1994-02-25,"BB/5,   GREATER KAILASH II,NEW DELHI,Delhi,110048-India",Unlisted,Strike Off,delhi,Indian,65921,Finance
U65921DL1994PTC058558,DATSUN FINANCE & LEASING PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,500000.00,750.00,1994-04-22,"NAMDHARI CHAMBERSDESH BANDHU GUPTA ROAD   KAROL  BAGH,NEW DELHI,Delhi,000000-India",Unlisted,Strike Off,delhi,Indian,65921,Finance
U65921DL1994PTC059350,BDJ FINANCE & INVESTMENTS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1000000.00,2000.00,1994-06-01,"A-1/65,   SECTOR 8 ROHINI,,NEW DELHI,Delhi,000000-India",Unlisted,Strike Off,delhi,Indian,65921,Finance
