CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U85499GJ2025NPL158578,KANCHANBA P B SHAH FAMILY FOUNDATION,ROC Ahmedabad,Company limited by shares,Non-government company,Private,200000.00,200000.00,2025-02-03,"A89SEC7SATYAGRAHCHHAVNI,SUROLD11791181NEW478480,Ahmadabad City,Ahmedabad,Gujarat,380015-India",Unlisted,Active,gujarat,Indian,85499,"Community, personal and Social Services"
U85500GJ2023PTC142723,MAANYA GLOBAL PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2023-07-07,"6 3 RAJ SHOPPING CENTRE,OPP B V GANDHI PETROLPUMP,Godhra,Panch Mahals,Gujarat,389001-India",Unlisted,Active,gujarat,Indian,85500,"Community, personal and Social Services"
U85500GJ2024OPC151560,TRADINGPIXELS ACADEMY (OPC) PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,One Person Company,100000.00,70000.00,2024-05-16,"JESAL SOC AD 109, VIJALPO,JALALPORE,Jalalpore,Navsari,Gujarat,396450-India",Unlisted,Active,gujarat,Indian,85500,"Community, personal and Social Services"
U85500GJ2025NPL161389,SURIYAVASANT FOUNDATION,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2025-04-10,"104,SHILANYAS RESIDENCY,,NEHRUPARK,LAD SOCIETY,,Ahmadabad City,Ahmedabad,Gujarat,380015-India",Unlisted,Active,gujarat,Indian,85500,"Community, personal and Social Services"
U85500GJ2025PTC161925,BUENA SUERTE ENTERPRISES PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2025-04-22,"ASHIRWAD FIRST FLOOR, WADI NAWAPURA,Vadodara,Vadodara,Gujarat,390017-India",Unlisted,Active,gujarat,Indian,85500,"Community, personal and Social Services"
U86100GJ2023PTC139333,HEALTHPRO CLINIC PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,500000.00,500000.00,2023-03-19,"301 krishna residency,Near Vikalp Hospital, Chhani Sama Canal Road,Vadodara,Vadodara,Gujarat,390024-India",Unlisted,Active,gujarat,Indian,86100,"Community, personal and Social Services"
U28998GJ2015PTC082965,OMEX FURNACES PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2015-04-22,"2773, SNO 4225, LAMBA PADAS POLE   RAIPUR,AHMEDABAD,Ahmedabad,Gujarat,380001-India",Unlisted,Strike Off,gujarat,Indian,28998,"Manufacturing (Metals and Chemicals, and products thereof)"
U28999GJ1996PTC030434,MILAN MARK STORWELL PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,1000000.00,0.00,1996-08-08,"3, ATUL COOM.COMPLEXGONDAL ROAD, OPP. BOMBAY HOTEL   RAJKOT,NA,Rajkot,Gujarat,000000-India",Unlisted,Strike Off,gujarat,Indian,28999,"Manufacturing (Metals and Chemicals, and products thereof)"
U28999GJ2017PTC097258,BALRAMA CASTINGS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2017-05-11,"Survey No. 4/1, 38/2P, 39/4 & 39/5,   Opp. Ruby Macan Ltd., Village Morai,,Pardi,Valsad,Gujarat,396191-India",Unlisted,Strike Off,gujarat,Indian,28999,"Manufacturing (Metals and Chemicals, and products thereof)"
U28999GJ2018PTC103339,KAYAN INFRA PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-07-18,"B - 306, One World Capital, lane opp. Infostrech,Behind Rajpath Club, Bodakdev,Ahmadabad City,Ahmedabad,Gujarat,380054-India",Unlisted,Active,gujarat,Indian,28999,"Manufacturing (Metals and Chemicals, and products thereof)"
U28999GJ2019PTC107688,REVA FOUNDRY WORKS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-04-18,"201, Gajanand Flate, Sama   Near Alanand Society,,VADODARA,Vadodara,Gujarat,390008-India",Unlisted,Strike Off,gujarat,Indian,28999,"Manufacturing (Metals and Chemicals, and products thereof)"
U29100GJ2009PLC057053,ELECTRA ACCUMULATORS LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Public,150000000.00,76450000.00,2009-05-26,"19, Mahavir Nagar,   N.H. No: 8,,Vapi,Gujarat,396195-India",Unlisted,Dissolved (Liquidated),gujarat,Indian,29100,Manufacturing (Machinery and Equipments)
U29100GJ2010PTC060945,SANGUINE SAFETY SYSTEM PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2010-06-02,"103, First Floor,Ashadeep Non Trading Corporation,   Shikhar Complex, Gurukul Road, Memnagar,,Ahmedbada,Ahmedabad,Gujarat,380052-India",Unlisted,Active,gujarat,Indian,29100,Manufacturing (Machinery and Equipments)
U29100GJ2011PTC063548,ZEPPELIN PRECISION PRODUCTS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,5000000.00,400000.00,2011-01-08,"ARCH CHEM, ZONE A-10,PLOT NO. 2219   GIDC, PHASE IV,VITHAL UDYOGNAGAR,Gujarat,388121-India",Unlisted,Active,gujarat,Indian,29100,Manufacturing (Machinery and Equipments)
U29100GJ2013PTC076509,DIMAN SOLAR PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-08-22,"C/1101 and C/1102, Swati Trinity,Applewood Township, S P Ring Road, Shela,Sanand,Ahmedabad,Gujarat,380058-India",Unlisted,Active,gujarat,Indian,29100,Manufacturing (Machinery and Equipments)
U29100GJ2018PTC102303,MITTAL BLOWERS INDIA PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,3000000.00,2000000.00,2018-05-11,"31, SHRI NANAND APART, B/H AYODHYA PARK   MAHADEV NAGAR, VASTRAL,AHMEDABAD,Ahmedabad,Gujarat,382413-India",Unlisted,Active,gujarat,Indian,29100,Manufacturing (Machinery and Equipments)
U29100GJ2020PTC114774,RADIKALE ENGINEERING PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,30000000.00,1225000.00,2020-07-19,"405, THE BARODA CROSSWAY 1, MAHARANI SHANTADEVI MARG,,AKOTA-DANDIA BAZAR ROAD, VADODARA,Vadodara,Vadodara,Gujarat,390001-India",Unlisted,Active,gujarat,Indian,29100,Manufacturing (Machinery and Equipments)
U29100GJ2020PTC116350,KWIK CHARGE AUTO TECH PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-09-09,"D 312,SUMEL BUSINESS PARK 6,OPP. HANUMANPURA BRTS   STOP, DUDHESHWAR ROAD, SHAHIBAUGH,AHMEDABAD,Ahmedabad,Gujarat,380004-India",Unlisted,Active,gujarat,Indian,29100,Manufacturing (Machinery and Equipments)
U29100GJ2020PTC117735,SHREEJI PHARMA EQUIPMENT PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-10-27,"PLOT NO. 437/54, AMAR ESTATE, BHIKHSUK GRUH ROAD   ASARVA CHEMICAL ODHAV,AHMEDABD,Ahmedabad,Gujarat,382415-India",Unlisted,Active,gujarat,Indian,29100,Manufacturing (Machinery and Equipments)
U29100GJ2022PTC130566,SUPREME EXTRUMAC PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-03-30,"Survey No. 403, Plot No. 4/A,Dhamatvan,Dascroi,Ahmedabad,Gujarat,382430-India",Unlisted,Active,gujarat,Indian,29100,Manufacturing (Machinery and Equipments)
U29119GJ1989PTC012827,HELIFLEX HYDRULICS AND ENGINEERING PVT L TD,ROC Ahmedabad,Company limited by shares,Non-government company,Private,1500000.00,0.00,1989-10-03,"15, ROKAD NAGAR SOCIETY,RACE COURSE CIRCLE,BARODA.,NA,Vadodara,Gujarat,000000-India",Unlisted,Strike Off,gujarat,Indian,29119,Manufacturing (Machinery and Equipments)
U29120GJ1974PTC002612,A V H VALVES PVT LTD,ROC Ahmedabad,Company limited by guarantee,Non-government company,Private,0.00,0.00,1974-11-04,"C-1, 18, G.I.D.. ESTATESILVARA ROAD, VAPI   DISTRICT. BULSAR.,NA,Gujarat,000000-India",Unlisted,Active,gujarat,Indian,29120,Manufacturing (Machinery and Equipments)
