CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U88900KA2024NPL192992,ECIRKLE GRASSROOTS FOUNDATION,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2024-09-12,"No 75, 2nd floor,JP Nagar 4th Phase,Bangalore South,Bangalore,Karnataka,560078-India",Unlisted,Active,karnataka,Indian,88900,"Community, personal and Social Services"
U88900KA2024NPL195809,SREE LAKSHMI RANGANATHA AGRO FORUM,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2024-12-13,"ANJANDRI NILAYA,2ND CROSS,KRISHNANAGARA, S.I.T EXTN,Tumkur,Tumkur,Karnataka,572103-India",Unlisted,Active,karnataka,Indian,88900,"Community, personal and Social Services"
U52520KA2016PTC097663,SPURS AND THREADS SOLUTIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000.00,450000.00,2016-11-08,"B201, Mantri Serenity,   Doddakalasandra, Kanakapura Road,,Bangalore,Bangalore,Karnataka,560062-India",Unlisted,Active,karnataka,Indian,52520,Trading
U52520KA2019PTC121513,STACKABLE CREATIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-02-15,"No.1473, 1st Main   7th Cross, Krishnamurthypuram,MYSURU,Mysore,Karnataka,570004-India",Unlisted,Active,karnataka,Indian,52520,Trading
U52520KA2019PTC127397,PRUDENCE PRIORITY PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-08-27,"D.No.171/2.6th Main   Meenakshi Nagar, Kamakshipalya,BENGALURU,Bangalore,Karnataka,560079-India",Unlisted,Active,karnataka,Indian,52520,Trading
U88900KA2025NPL202058,SURYASHAKTHI FOUNDATION,ROC Bangalore,Company limited by shares,Non-government company,Private,50000.00,10000.00,2025-04-28,"NO248 BRINDAVANELITE2N fl,3RDMAIN60FEETRDPANDUrana,Bangalore South,Bangalore,Karnataka,560076-India",Unlisted,Active,karnataka,Indian,88900,"Community, personal and Social Services"
U90001KA2011PTC059050,SLV CLEANING SERVICES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2011-06-08,"HALACHANAYAKANA HALLI,   CARMELRAM P O,Bangalore,Bangalore,Karnataka,560035-India",Unlisted,Strike Off,karnataka,Indian,90001,"Community, personal and Social Services"
U52520KA2021PTC143489,VOG BIOTECH PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,10000.00,2021-01-25,"W/O SHIVAMURTHYAPPA,   KALABHYRAVA ROAD, MALEBENNUR HRR,MALEBENNUR,Davanagere,Karnataka,577530-India",Unlisted,Active,karnataka,Indian,52520,Trading
U52520KA2022OPC169422,BRIHADYUTI (OPC) PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,One Person Company,10000.00,10000.00,2022-12-26,"C/o Bhagyavathi B, 4/B,   Champakanagara, Lakshmipuram,,Hassan,Hassan,Karnataka,573134-India",Unlisted,Active,karnataka,Indian,52520,Trading
U90009KA2021PTC147296,PARAMENVIRO ENGINEERS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2021-05-11,"# 1657/10, 1st Floor, 10th Main,   A block, Rajajinagar,,Bengaluru,Bangalore,Karnataka,560010-India",Unlisted,Active,karnataka,Indian,90009,"Community, personal and Social Services"
U52590KA2009PTC051050,RA ENERGY SYSTEMS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,2500000.00,1088800.00,2009-09-29,"# 6B/1, 3rd Floor, Krishna Rao Road   Off Govindappa Road, Basavanagudi,Bangalore,Bangalore,Karnataka,560004-India",Unlisted,Strike Off,karnataka,Indian,52590,Trading
U91100KA1989PTC010606,R K PERSONNEL AND INFORMATION SERVICES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,200000.00,1000.00,1989-12-13,"203 SASIKIRAN APARTMENTSMALLESWARAM NO 9 18TH   CROSS BANGALORE,BANGALORE,Karnataka,560012-India",Unlisted,Strike Off,karnataka,Indian,91100,"Community, personal and Social Services"
U52590KA2014PTC073638,TEJAS ELECTRONICS (INDIA) PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2014-02-13,"No.937, DwarakaNagar Layout, Channasandra,   Rajarajeshwarinagar, Uttarahalli Main Ro,ad,Bangalore,Bangalore,Karnataka,560098-India",Unlisted,Strike Off,karnataka,Indian,52590,Trading
U91990KA2022PTC160077,SIGNZ CLUB INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2022-04-15,"No.22, 2nd Main, 2nd Stage   Domlur, Indiranagar,Bangalore,Bangalore,Karnataka,560071-India",Unlisted,Active,karnataka,Indian,91990,"Community, personal and Social Services"
U52590KA2015PTC081195,VOILA SCIENTIFIC NEEDS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,5000000.00,4551280.00,2015-06-26,"No.93, 16th Cross, 2nd Main,,N.N Farm, Geddalahalli, Sanjaynagar,Bangalore North,Bangalore,Karnataka,560094-India",Unlisted,Active,karnataka,Indian,52590,Trading
U92100KA2020PTC134660,CREDITURE FINANCE PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-06-06,"627/628,1ST FLOOR,4TH BLOCK 80 FEET ROAD   5TH CROSS ROAD, KORAMANGALA BENGALURU,BANGALORE,Bangalore,Karnataka,560034-India",Unlisted,Strike Off,karnataka,Indian,92100,"Community, personal and Social Services"
U92111KA2006PTC038516,L G INFOTAINMENT NETWORK PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,2500000.00,100000.00,2006-02-17,"L G LAKE DEW, BELISHIVALE,   DODDAGUBBI POST,BANGALORE,Karnataka,562149-India",Unlisted,Strike Off,karnataka,Indian,92111,"Community, personal and Social Services"
U92111KA2006PTC040122,BLACK STUDIOS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,0.00,2006-08-03,"9/51, 2ND FLOOR, RAJARAJESWARI APARTMENTS   9TH CROSS, SARRAKKI 80 FT ROAD, J.P.NAGA,R 1ST PHAS,BANGALORE,Karnataka,560078-India",Unlisted,Strike Off,karnataka,Indian,92111,"Community, personal and Social Services"
U92112KA1946PLC000618,BANGALORE FILMS LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Public,500000.00,500000.00,1946-07-15,"NO.157 CHICKBAZAR RAOD,TASKER TOWN   B'LORE,BANGALORE,Karnataka,000000-India",Unlisted,Strike Off,karnataka,Indian,92112,"Community, personal and Social Services"
U52599KA2007PTC042991,FORTUNE FRONTIERS RETAIL PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2007-06-01,"NO 7,ALSA EAGLE ROCK, EAGLE STREET LANGFORD TOWN   BANGALORE,BANGALORE,Karnataka,560025-India",Unlisted,Active,karnataka,Indian,52599,Trading
U52599KA2020PTC142447,ADBHUTA ENTERPRISES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2020-12-21,"No.115, Singapura Paradise, Near MS Palya Circle   Vidyaranyapura,Bangalore,Bangalore,Karnataka,560097-India",Unlisted,Active,karnataka,Indian,52599,Trading
U92130KA2022PTC163429,MOHAN K.H MEDIA BROADCAST PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2022-07-06,"No. 2, Laxmi Nivas, First Floor   West Park Road, Kumar Park East,Bangalore,Bangalore,Karnataka,560001-India",Unlisted,Active,karnataka,Indian,92130,"Community, personal and Social Services"
U92132KA2002PTC031401,DEEYA COMMUNICATIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2002-12-27,"APT NO.301, SKYLINE CHALET, 2/1-12, OVH ROAD   BASAVANAGUDI,BANGALORE,Bangalore,Karnataka,560004-India",Unlisted,Active,karnataka,Indian,92132,"Community, personal and Social Services"
U52601KA2019PTC120692,AIRZONE ENGINEERING PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2019-01-23,"No 669/11, BEHIND GANESHA TEMPLE,   BEGUR ROAD, BOMMANAHALLI,BANGALORE,Bangalore,Karnataka,560068-India",Unlisted,Active,karnataka,Indian,52601,Trading
U92190KA2015PTC079574,VVAS TELE FILMS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2015-03-30,"No.156, 3rd Cross,   Amco Layout, Kodagihalli,,Bangalore,Bangalore,Karnataka,560092-India",Unlisted,Strike Off,karnataka,Indian,92190,"Community, personal and Social Services"
U52602KA2015PTC081426,VIRTUALIENS RETAIL PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2015-07-07,"No 529/102, 14th Cross   Shastrinagar,,Bangalore,Bangalore,Karnataka,560028-India",Unlisted,Active,karnataka,Indian,52602,Trading
U92190KA2018PTC112463,WESTERN WOOD INTERNATIONAL FILM SCHOOL PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-04-20,"No. 1231/K, 2nd D Main, BSK 3rd Stage   Opp. to Little Flower School,HOSAKEREHALLI,Bangalore,Karnataka,560085-India",Unlisted,Active,karnataka,Indian,92190,"Community, personal and Social Services"
U92199KA2002PTC030944,MANASA COMMUNICATIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,500000.00,100100.00,2002-08-30,"NO.88, 3RD FLOORJEERIGE BUILDING,   11TH CROSS, MALLESWARAM,BANGALORE,Karnataka,560053-India",Unlisted,Strike Off,karnataka,Indian,92199,"Community, personal and Social Services"
U52605KA2017PTC101664,ROUTE NEUNZEHN NORTH PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2017-03-23,"# 533, 9th Main, 4th Cross   HAL 2nd Stage, Indiranagar,Bangalore,Bangalore,Karnataka,560008-India",Unlisted,Strike Off,karnataka,Indian,52605,Trading
U52609KA2008PTC047835,STAR COMMON ZEAL MARKETING PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,200000.00,0.00,2008-09-23,"DOOR NO-12,NEW STREET, KOMBAR KOPPAL   P.O-METAGALLI, P.S- METAGALLI,MYSORE,Mysore,Karnataka,570016-India",Unlisted,Strike Off,karnataka,Indian,52609,Trading
U92312KA1999PTC025563,CINEMAX ENTERTAINMENT PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,500000.00,100000.00,1999-08-05,"NO.12, I Cross, I Main, Dollars Colony,   NTI Layout, RMV Extn, II Stage,BANGALORE,Karnataka,560094-India",Unlisted,Active,karnataka,Indian,92312,"Community, personal and Social Services"
U92400KA2016OPC093566,PRABHANJEET FITNESS RESEARCH INSTITUTE (OPC) PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2016-05-25,"# 638, 1 St Floor, Jakuramma Building,   1St Main, 1St Cross, Mathikere,Bangalore,Bangalore,Karnataka,560054-India",Unlisted,Active,karnataka,Indian,92400,"Community, personal and Social Services"
U52609KA2017OPC103557,IBB TRADING (OPC) PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,One Person Company,500000.00,500000.00,2017-06-02,"# 5 AC, 999/9, 5th A Cross, 1st Block ,   Hennur Road,Bangalore,Bangalore,Karnataka,560043-India",Unlisted,Strike Off,karnataka,Indian,52609,Trading
