CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U24299PN2019PTC181506,ANURIUSWELL PHARMACEUTICALS PRIAVTE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-01-17,"54/2B, PLOT NO-24, GANESH TEMPLE   ASHIRWAD PARK,PUNE,Pune,Maharashtra,411060-India",Unlisted,Active,maharashtra,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299PN2019PTC187808,SKYI FKUR BIOPOLYMERS PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,70000000.00,53300000.00,2019-11-16,"PAP �x80x93S- 606364 MIDC CHAKAN INDUSTRIAL AREA   (PHASE II) TALUKA KHED,PUNE,Pune,Maharashtra,410501-India",Unlisted,Active,maharashtra,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299PN2020PTC192446,CHEMENGG RESEARCH PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-07-28,"GAT NO-90, BUILDING N-2, FLAT NO-408,   RIVER RESIDENCY, JADHAVWADI, CHIKHALI,,PUNE,Pune,Maharashtra,411062-India",Unlisted,Active,maharashtra,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299PN2020PTC192728,VIDHI AYURVEDIC AND HERBAL PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,10000.00,2020-08-06,"F NO A 206 TAHA HEIGHTS   NEAR PRANT OFFICE,RATNAGIRI,Mumbai City,Maharashtra,415605-India",Unlisted,Active,maharashtra,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299PN2021PTC202706,GOPADMA ORIGINS PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,500000.00,100000.00,2021-07-17,"F. No. 5, S.No.18/45/2 Indraprasth Park   Near Maratha Mandir Bavdhan Khurd,Pune,Pune,Maharashtra,411021-India",Unlisted,Active,maharashtra,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299PN2021PTC204056,ELARA PHARMACEUTICALS PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,500000.00,100000.00,2021-09-07,"GAT NO.1236, DATTA NAGAR,   10TH MAIL, HAVELI, WADKI,PUNE,Pune,Maharashtra,412308-India",Unlisted,Active,maharashtra,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299PN2022PTC212141,PANDHARPUR AGARBATTI INDUSTRIES PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,1000000.00,375000.00,2022-06-16,"44/3/3 Opp Yamai Tukai Mandir   Pandharpur,PANDHARPUR,Solapur,Maharashtra,413304-India",Unlisted,Active,maharashtra,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299PN2022PTC216641,SIKKALGAR AND SON'S AYUR PHARMA PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-12-05,"FLAT NO 8 BUILDING B KUMAR PARIJAT   S NO 15/5 KONDHWA KD NIBM ROAD,PUNE,Pune,Maharashtra,411048-India",Unlisted,Active,maharashtra,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U24300MH1988PTC046033,AMAR FIBRES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,500000.00,0.00,1988-01-28,"310, HIMALAYA HOUSE,PALTON ROAD, 3RD FLOOR,,MUMBAI 400 001,Maharashtra,000000-India",Unlisted,Strike Off,maharashtra,Indian,24300,"Manufacturing (Metals and Chemicals, and products thereof)"
U24300MH2022PTC395055,WISH YOU INB PHARMACEUTICAL PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2022-12-12,"TUKARAM PLAZA, D/104NR   SAMARTH NAGAR, ADIWALI,THANE,Thane,Maharashtra,421306-India",Unlisted,Active,maharashtra,Indian,24300,"Manufacturing (Metals and Chemicals, and products thereof)"
U24301MH2015PTC268172,CYTELIFE HEALTHCARE SERVICES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,500000.00,2015-09-07,"BALAJI INDUS PARK, L.S.NO. 119/2&3, 120/1&2   GALA NO C -10, TONDRE VILLAGE,THANE,Thane,Maharashtra,410206-India",Unlisted,Active,maharashtra,Indian,24301,"Manufacturing (Metals and Chemicals, and products thereof)"
U24302MH2022PTC374717,IVAR CARBONS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1500000.00,1500000.00,2022-01-11,"1604, FLOOR-16 TH, PLOT-CS 3/301,LODHA   SUPREMUS,DR E MOSES ROAD,WORLINAKA,WORLI,MUMBAI,Mumbai City,Maharashtra,400018-India",Unlisted,Active,maharashtra,Indian,24302,"Manufacturing (Metals and Chemicals, and products thereof)"
U24302MH2022PTC380909,REVALTO AGRO INDIA PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,50000.00,2022-04-19,"Shri Parshuram N Rathod C/o AT Jiwati TH   Gadchandur, Korpana,Chandrapur,Chandrapur,Maharashtra,442401-India",Unlisted,Active,maharashtra,Indian,24302,"Manufacturing (Metals and Chemicals, and products thereof)"
U24303MH2018PLC316335,IACAIL CHEMICALS (INDIA) LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Public,1000000.00,1000000.00,2018-10-25,"SHOP NO 39A/B GR FLR NEXT TO BOMBAY BAZR   SHOURIE SHOPPING COMPLEX J P ROAD,MUMBAI,Mumbai City,Maharashtra,400058-India",Unlisted,Active,maharashtra,Indian,24303,"Manufacturing (Metals and Chemicals, and products thereof)"
U24303MH2020PTC344254,SRM FORMULATION PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,500000.00,100000.00,2020-08-22,"C4/103 DHRUV GOKULDHAM SUNDERWADI   SHENDRA,AURANGABAD,Aurangabad,Maharashtra,431007-India",Unlisted,Active,maharashtra,Indian,24303,"Manufacturing (Metals and Chemicals, and products thereof)"
U24303MH2021PTC371241,PLATING PRODUCTS IND PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-11-10,"Gala No 116, Saraf Udyog Bhavan   Chincholi Phatak, Malad west,Mumbai,Mumbai City,Maharashtra,400064-India",Unlisted,Active,maharashtra,Indian,24303,"Manufacturing (Metals and Chemicals, and products thereof)"
U24304MH2016PTC283383,SYBIL INDUSTRIES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2016-07-08,"A-9, KOLUNGADE CHS,   KOLBAD ROAD,,THANE,Thane,Maharashtra,400601-India",Unlisted,Active,maharashtra,Indian,24304,"Manufacturing (Metals and Chemicals, and products thereof)"
U24304MH2017FTC300379,THOR CHEMICALS INDIA PRIVATE LIMITED,ROC Mumbai,Company limited by shares,subsidiary of company incorporated outside India,Private,100000000.00,94265040.00,2017-10-04,"FAIRMOUNT CHS LTD,Office No 1702 & 1703,Plot Number 4, 5 and 6,Sector 17,Sanpada,,Thane,Thane,Maharashtra,400705-India",Unlisted,Active,maharashtra,Indian,24304,"Manufacturing (Metals and Chemicals, and products thereof)"
U24304MH2017PTC291402,KRISHNIYA PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2017-02-20,"B 302, Crescent Grande, Near Raj Chambers,   Andheri Subway Mogra Cross Road, Andheri, East,Mumbai,Mumbai City,Maharashtra,400069-India",Unlisted,Active,maharashtra,Indian,24304,"Manufacturing (Metals and Chemicals, and products thereof)"
U24304MH2017PTC292170,ARHAM SPECIALITY PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2017-03-08,"A/301,VIRVANI INDUSTRIAL ESTATE   NEAR W.E. HIGHWAY GOREGAON (E),MUMBAI,Mumbai City,Maharashtra,400063-India",Unlisted,Strike Off,maharashtra,Indian,24304,"Manufacturing (Metals and Chemicals, and products thereof)"
U24304MH2017PTC298335,CLARA HEALTONATION PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,500000.00,100000.00,2017-08-07,"RSC 1& 2 FLAT NO.1003, MHADA POKHRAN RD-2,THANE 400607 MAHARASHTRA INDIA,Thane,Thane,Maharashtra,400607-India",Unlisted,Active,maharashtra,Indian,24304,"Manufacturing (Metals and Chemicals, and products thereof)"
U24304MH2017PTC301054,SARVAG AGRO PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,10800000.00,9510000.00,2017-10-23,"Shop No-312, The Pacific, Plot-299,   Sector-13, Shilp Chowk,,Kharghar,,Raigarh,Maharashtra,410210-India",Unlisted,Active,maharashtra,Indian,24304,"Manufacturing (Metals and Chemicals, and products thereof)"
U24304MH2018PTC307191,AVNOR LIFE SCIENCE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,500000.00,100000.00,2018-03-27,"B.N.4,F.N.11, Rajbaksha   Vishram Nagar Co Op Housing Society, Raj,NAGPUR,Nagpur,Maharashtra,440009-India",Unlisted,Active,maharashtra,Indian,24304,"Manufacturing (Metals and Chemicals, and products thereof)"
U24304MH2018PTC312132,NAILO COLOR PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-07-23,"41, JEEVAN ARADHANA CHS LTD   PLOT NO. A-6/1, JEEVAN BEEMA NAGAR,BORIVALI-WEST, MUMBAI,Mumbai City,Maharashtra,400103-India",Unlisted,Active,maharashtra,Indian,24304,"Manufacturing (Metals and Chemicals, and products thereof)"
