CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U55101TN1997PTC039237,KOMALA'S RESTAURANTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,10000000.00,2500000.00,1997-10-15,"NO.3A/4 & 3A/5 KODAMBAKKAM HIGH ROAD,   FIRST FLOOR,CHENNAI,Tamil Nadu,600034-India",Unlisted,Strike Off,tamil nadu,Indian,55101,Trading
U55101TN2000PTC044155,RAJMILLENNIA HOTELS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000.00,300.00,2000-02-11,"5, ARAVAMUDU GARDEN STREET,EGMORE,   EGMORE,,CHENNAI - 600 008.,Chennai,Tamil Nadu,600008-India",Unlisted,Strike Off,tamil nadu,Indian,55101,Trading
U55101TN2002PTC049289,FAMILY CARE ENTERPRISES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,0.00,2002-07-18,"JAYAVANI,NO.16/A,RAMBHARATHISTREET,WESTKRISHNAPURAM,,AMBATTUR,,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,55101,Trading
U55101TN2006PTC060179,POONAMALLEE ENTERTAINMENT AND LEISURE PR IVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2006-06-09,"NEW NO.36, OLD NO.50, 4TH STREET,   PADMANABHA NAGAR, ADYAR,,CHENNAI,Chennai,Tamil Nadu,600020-India",Unlisted,Strike Off,tamil nadu,Indian,55101,Trading
U55101TN2007PTC063968,NU-TECH HOTELS AND RESORTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,10000000.00,1000000.00,2007-06-15,"76(41) C.I.T. NAGAR 1ST MAIN ROAD   C.I.T. NAGAR, NANDANAM,CHENNAI,Chennai,Tamil Nadu,600035-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55101TN2010PTC074477,TRADITIONS HOSPITALITY PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2010-02-04,"C2-A, Thiru-vi-ka Industrial Estate,   Guindy,Chennai,Chennai,Tamil Nadu,600032-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55101TN2011PTC079307,HOTEL ANANDHA PARK PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,2500000.00,2500000.00,2011-02-22,"12, RENGANAYAGI AMMAL STREET   AYYAVOO NAIDU COLONY, AMINJIKARAI,CHENNAI,Chennai,Tamil Nadu,600029-India",Unlisted,Strike Off,tamil nadu,Indian,55101,Trading
U55101TN2012PTC086709,NIKKOY HOSPITALITY SERVICES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,800000.00,2012-07-12,"NO 8,11/1   DHANAMAL STREET SPUR TANK ROAD,CHENNAI,Chennai,Tamil Nadu,600031-India",Unlisted,Strike Off,tamil nadu,Indian,55101,Trading
U55101TN2013PTC089306,VILLA DE JOSEPH RESORT PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,200000.00,2013-01-08,"OLD NO 19A, NEW NO 28, FIRST SEAWARD ROAD   VALMIKI NAGAR, THIRUVANMIYUR,CHENNAI,Chennai,Tamil Nadu,600041-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55101TN2014PTC095244,AVK HOTELS & RESORTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2014-03-03,"AVK Towers R 7/1, North Main Road,   Anna Nagar West Extension,,Chennai,Chennai,Tamil Nadu,600101-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55101TN2015PTC101412,CERES ENTERPRISES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,20000000.00,10600000.00,2015-07-15,"10, VALLIAMMAI ACHI ROAD   KOTTURPURAM,CHENNAI,Tamil Nadu,600085-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55101TN2019PTC126960,SRI KONIDALA VAARI VENTURES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,10000000.00,10000000.00,2019-01-16,"SF No.68/2A, 68/2B, 68/3, 68/6,   Padmavathi Nagar,TIRUTTANI,Thiruvallur,Tamil Nadu,631209-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55101TN2019PTC130352,PA LATHEEF ENTERPRISES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2019-07-05,"4/21 BIG STREET RAJA GIRI   PAPANASAM THALUK THANJAVUR,THANJAVUR,Thanjavur,Tamil Nadu,614207-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55101TN2019PTC131073,FALKASH CAFE PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2019-08-14,"PLOT NO 49, 3RD CROSS STREET,   PADMAVATHI NAGAR, MADAMBAKKAM,CHENNAI,Kancheepuram,Tamil Nadu,600126-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55101TN2019PTC131313,PRV HOTELS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,200000.00,2019-08-28,"NO 4 PLOT NO 364 AMBETHKAR STREET   SHEIK AADBULLA NAGAR MAIN ROAD VIRUGAMBA,KKAM,CHENNAI,Chennai,Tamil Nadu,600092-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55101TN2023PTC160238,TRAVELANCE HOLIDAYS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000.00,10000.00,2023-05-08,"NO.27, First Floor, Parsn Manere Mount Road,,No 602,Chennai,Chennai,Tamil Nadu,600006-India",Unlisted,Active,tamil nadu,Indian,55101,"Transport, storage and Communications"
U55101TN2023PTC162337,JAI SAIRAM RESIDENCY PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2023-07-27,"78, Nadu,Mariyamman KovilKumanthapuram,Rajapalayam,Virudhunagar,Tamil Nadu,626188-India",Unlisted,Active,tamil nadu,Indian,55101,"Transport, storage and Communications"
U55101TN2025OPC176990,NAACHIYAAR INFRA (OPC) PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,One Person Company,1500000.00,100000.00,2025-02-15,"NO. D46, HINDU COLONY,,17TH STREET, NANGANALLUR,,Saidapet,Kanchipuram,Tamil Nadu,600061-India",Unlisted,Active,tamil nadu,Indian,55101,"Transport, storage and Communications"
U55101TZ2009PTC015144,APC HOTELS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,10000000.00,10000000.00,2009-04-08,"No.411, Gandhi Road,Krishnagiri,Tamil Nadu,635001-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55101TZ2020PTC033678,AAGNA HOTELS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2020-03-31,"No. 1256, Avinashi Road,   Nava India, Peelamedu,,Coimbatore,Coimbatore,Tamil Nadu,641004-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55101TZ2021PTC037506,PENTOZ HOTELS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-11-09,"1-C, GOLF CLUB ROAD,   FINGER POST,,OOTY,Nilgiris,Tamil Nadu,643006-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55101TZ2022PTC040626,SENTHOOR HOSPITALITY SERVICES PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-12-28,"RH-19, Orchids Rakindo   VLB Engineering College,Kovaipudur,Coimbatore,Coimbatore,Tamil Nadu,641048-India",Unlisted,Active,tamil nadu,Indian,55101,Trading
U55109TN2002PTC048647,GRACE HILL RESORT & CLUBS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,500000.00,482000.00,2002-03-21,"NO.28, (OLD NO.11),9TH AVENUE, ASHOK NAGAR,   9TH AVENUE, ASHOK NAGAR,,CHENNAI - 600 083.,Chennai,Tamil Nadu,600083-India",Unlisted,Strike Off,tamil nadu,Indian,55109,Trading
U55205TN2020PTC133687,SEVANTHI HOSPITALITY PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2020-01-08,"No: S5, AARTHIS ARK APARTMENT   MOOKAMBIKAI NAGAR, 6th CROSS STREET,,KTC NAGAR,TIRUNELVELI,Tirunelveli,Tamil Nadu,627011-India",Unlisted,Strike Off,tamil nadu,Indian,55205,Trading
U55205TN2020PTC139922,NESAM GRAND HOTELS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2020-12-05,"260A SRI RENGAPALAYAM,RAJAPALAYAM,Virudhunagar,Tamil Nadu,626117-India",Unlisted,Active,tamil nadu,Indian,55205,Trading
U93096TN2016PTC111294,CHAN CONSULTANTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2016-07-05,"No.107, Gandhi Street,Ground floor   Chan Pinnacle, Rajiv Nagar,,Vanagaram,Chennai,Tamil Nadu,600077-India",Unlisted,Active,tamil nadu,Indian,93096,"Community, personal and Social Services"
U93110TZ2024OPC030913,APG INFINITY SPORTS CLUB (OPC) PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2024-03-11,"NO. 2/170-A,,DEVASAMUTHIRAM,,Krishnagiri,Krishnagiri,Tamil Nadu,635001-India",Unlisted,Active,tamil nadu,Indian,93110,"Community, personal and Social Services"
U93190TN2024PTC167115,PPRS SPORTS ACADEMY PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000.00,800000.00,2024-02-01,"NO.4, VELLALAR STREET,,ADAMBAKKAM,Saidapet,Kanchipuram,Tamil Nadu,600088-India",Unlisted,Active,tamil nadu,Indian,93190,"Community, personal and Social Services"
U93290TN2025PTC178020,ZIROTIX INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000.00,200000.00,2025-03-09,"210/222, Linghi Chetty,Street,Tondiarpet Fort St George,Chennai,Tamil Nadu,600001-India",Unlisted,Active,tamil nadu,Indian,93290,"Community, personal and Social Services"
U95210TZ2023PTC028306,FOOZLEUP ELECTRONICS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2023-05-03,"331,ONDHAPELLAIKADU,Salem,Salem,Tamil Nadu,636015-India",Unlisted,Active,tamil nadu,Indian,95210,"Community, personal and Social Services"
